Frequency,Magnitude,Phase
0.09,0.00638191556093778,72.3218583283134
0.1,0.00677291972190946,69.8642923008656
0.11,0.00741329835583134,68.8847839155779
0.12,0.00905172141044918,65.1344168747119
0.13,0.00937913732751191,62.2689046790649
0.14,0.0101673978924554,56.1235947957966
0.15,0.0113461838230885,55.9895529522489
0.16,0.0124982381982387,52.7809119115059
0.17,0.0138471499661718,46.66631205752
0.18,0.0141058016076334,44.9976095785472
0.19,0.0158980765854205,47.4703977040727
0.2,0.0149114391595871,33.1762777725749
0.21,0.0177114171033533,30.3729445219939
0.22,0.018068682671849,24.131475344082
0.23,0.0197469674403243,27.8424972854922
0.24,0.0198095242301606,12.3112951564193
0.25,0.0206900602385328,7.26934297141156
0.26,0.0200517810858858,2.43706256949252
0.27,0.0197482601357081,-5.97491971057917
0.28,0.0211634297026627,-13.9150383577432
0.29,0.020231753548752,-12.8028791875944
0.3,0.0200220741573393,-16.512191990774
0.31,0.0186121959920282,-22.1315336528433
0.32,0.0186059352394852,-25.9851944545637
0.33,0.0178488066940991,-28.0872821198215
0.34,0.0175418930061395,-32.5207797319647
0.35,0.0164979831293674,-36.5667583587414
0.36,0.0163052193897252,-39.0650824364146
0.37,0.0156115701712156,-39.3653402776224
0.38,0.0153123263359126,-43.2181162360024
0.39,0.0151333630630873,-44.6960291423166
0.4,0.0144655964309668,-45.8979153838311
0.41,0.0137383013537244,-48.9735822917538
0.42,0.0129527832892808,-49.207174853374
0.43,0.0125310578478943,-54.2343573252973
0.44,0.0134390818232457,-57.342631348574
0.45,0.0123169938387381,-54.6653666186725
0.46,0.011724964800397,-54.9901967560218
0.47,0.0109785794107022,-59.2288927595462
0.48,0.0110679558072204,-57.0706777253857
0.49,0.0110520064502323,-56.8108926693138
0.5,0.0106061501742154,-59.9842867871495
0.51,0.0102710838046585,-60.0338677179878
0.52,0.00971922442626566,-63.4669249355076
0.53,0.0100798153036677,-61.9201520922612
0.54,0.00958861349033508,-63.1739355190833
0.55,0.0093993211784512,-62.2661147704005
0.56,0.00913799150432042,-63.6673509517152
0.57,0.0090879281089981,-65.0022037379971
0.58,0.00881995722090292,-64.2385349122305
0.59,0.00897406124761542,-64.8756633773997
0.6,0.00827995680659132,-63.609168691542
0.61,0.0083593082279616,-67.8052946904764
0.62,0.00814769648138331,-66.1998934553604
0.63,0.00787285778283055,-68.5161995171416
0.64,0.00777225582810427,-68.365098242397
0.65,0.00756146916302682,-68.3443797546301
0.66,0.00767759939818186,-68.8056393868793
0.67,0.00732917020411468,-68.5528419772773
0.68,0.00731018540601374,-69.3546326747184
0.69,0.00709459469956208,-71.1290404105847
0.7,0.00689400511632191,-71.269179642581
0.71,0.00701568582725,-71.8460858409025
0.72,0.00684941712901404,-71.1497599734594
0.73,0.00668962232861478,-72.6865215768253
0.74,0.00676985859421707,-73.1139032036615
0.75,0.00647947495787846,-71.5433719529479
0.76,0.0063894575631717,-73.3249194873919
0.77,0.0064048874818912,-71.2435684065504
0.78,0.00631005180414764,-72.5608655772794
0.79,0.00636042635071355,-75.09772778299
0.8,0.00603851445004965,-72.8398403590395
0.81,0.00589834674304984,-74.7538510890085
0.82,0.00613599327416312,-73.2859432762431
0.83,0.00593218515851639,-74.4539578159875
0.84,0.00602205744438511,-73.4604348094215
0.85,0.005632560881323,-75.6932896334167
0.86,0.00549263620741285,-73.0867478885536
0.87,0.00553282771891199,-75.9251989629786
0.88,0.00536273011096989,-75.16804739859
0.89,0.00535363305326946,-77.2283122769603
0.9,0.00534440318890908,-75.3562572733123
0.91,0.00558490902869021,-83.4280333330802
0.92,0.00507582160618947,-76.8261321979011
0.93,0.00509021165425877,-77.913350723929
0.94,0.00511331098638506,-76.8847129057816
0.95,0.00500036029907274,-76.3696518261719
0.96,0.00487794305739067,-77.6687183657235
0.97,0.00491629225683883,-76.41399125808
0.98,0.00502836309891406,-80.2898582028302
0.99,0.0048784332548691,-78.2828967258208
1,0.00472338287034425,-76.2015363571016
1.01,0.00476629533807986,-77.4912319765799
1.02,0.00473173125093369,-77.6267705263863
1.03,0.00465566950968668,-78.0909465190107
1.04,0.00464242085450481,-77.3293637012327
1.05,0.00447653887085356,-77.6661292767729
1.06,0.00450879362439828,-79.4966114604917
1.07,0.00443894601078724,-77.9050268683725
1.08,0.0044337580903274,-78.5416624226217
1.09,0.00438588402355311,-78.7588005710243
1.1,0.00439153654678166,-80.127073119241
1.11,0.00428742340342499,-78.0369619430022
1.12,0.00427070548494501,-79.4299635646969
1.13,0.00416234117908328,-80.0334537471114
1.14,0.0041739416873688,-80.021896921294
1.15,0.00415650032693353,-79.5930588818627
1.16,0.00402159510910908,-79.6204043815016
1.17,0.00407294503220588,-80.3859976779067
1.18,0.00396326342510382,-80.1895766917358
1.19,0.00399209847797882,-79.7443356204662
1.2,0.00385945166316532,-79.7592444711231
1.21,0.00383566534187741,-81.4740153455611
1.22,0.00387979638766894,-79.7650493829517
1.23,0.00381277584103499,-81.9672185033922
1.24,0.00378588241783964,-80.0809394589996
1.25,0.00366086849775567,-76.5771012617205
1.26,0.00367546513354816,-80.9310299271785
1.27,0.00366425254886986,-80.521235153397
1.28,0.00375051177128427,-81.2370487227851
1.29,0.00355624851127634,-80.6039687898867
1.3,0.00389255851444688,-80.0511576660934
1.31,0.00365313068456407,-82.3163232430309
1.32,0.00359051062322081,-81.1579947705903
1.33,0.0035940146232744,-81.8372138780901
1.34,0.00363181611940136,-80.5607749824969
1.35,0.00339853528746433,-83.2564481303614
1.36,0.00344388153100134,-81.819921225054
1.37,0.00357971381791106,-80.7547099121243
1.38,0.00337378634786768,-82.8414893970713
1.39,0.00331932926969284,-78.4960037444478
1.4,0.00331985765831348,-82.5943836012377
1.41,0.0032788436186737,-82.9412914559989
1.42,0.00330175288952046,-83.3843907472638
1.43,0.00335395809720511,-84.3156854868708
1.44,0.00328961297477117,-81.7293974328516
1.45,0.00324500490012015,-81.9965463654113
1.46,0.00324314436660544,-83.3271553717166
1.47,0.00333775469970907,-83.1642954409162
1.48,0.00323749760925387,-83.5531348501784
1.49,0.00317887612890093,-83.4693046211834
1.5,0.00312336054405234,-82.7121967667082
1.51,0.00315884463293596,-82.2588211089214
1.52,0.00335140147180226,-85.463432080868
1.53,0.00310843911531888,-82.2138526928371
1.54,0.00307371853495857,-83.5537513664818
1.55,0.00305603127819625,-83.6810633449876
1.56,0.00309069596068614,-83.0713539002327
1.57,0.00299599458670884,-83.7350026212949
1.58,0.00301701274993454,-82.7544708902456
1.59,0.00298133967132553,-84.3861556190877
1.6,0.00296438171084374,-84.7490441141436
1.61,0.00295826936405179,-85.1057193355226
1.62,0.0029765546313837,-84.7316597199519
1.63,0.00302165795582273,-83.0065719503748
1.64,0.00308829408318576,-79.4315467857299
1.65,0.00287140331616831,-81.7155898548654
1.66,0.00291016295317706,-83.5205950711887
1.67,0.00282417976925347,-84.9697017133963
1.68,0.00300577459181729,-83.4212383723719
1.69,0.00287232445181664,-84.3872273070133
1.7,0.00288470903504577,-83.3663519545443
1.71,0.00282145295977577,-85.3594875228821
1.72,0.00280991125896487,-83.7438304447562
1.73,0.00270273989313797,-85.3853910866892
1.74,0.00274942188465385,-85.3267562587025
1.75,0.00268373255101231,-84.8912485252373
1.76,0.00279195033508385,-84.4324731111739
1.77,0.00272735449598866,-83.7255676693008
1.78,0.0027522294339564,-84.8376465993478
1.79,0.00266652875716948,-85.163364463521
1.8,0.0026854859255184,-85.7736433014314
1.81,0.0026481875835478,-84.6277957372599
1.82,0.00276597076962846,-86.6769821139877
1.83,0.00260332458398352,-84.2026465914671
1.84,0.00267262242948223,-84.5290260171104
1.85,0.00260445693309977,-87.7069131878398
1.86,0.00258192840279833,-84.4576095523986
1.87,0.00253846055294888,-84.0764351577053
1.88,0.00249376808199499,-84.004986515582
1.89,0.00257157808374961,-85.9605727461141
1.9,0.0025770022177734,-84.7642172750563
1.91,0.00248904428005608,-88.6502840558507
1.92,0.00256588350981684,-88.7033721893418
1.93,0.00248103925608446,-88.3131582230956
1.94,0.00254376516201682,-86.2041886297222
1.95,0.00260627196702337,-87.1277400876974
1.96,0.00248358035772079,-87.8972847886866
1.97,0.00254627751550559,-85.3403926700913
1.98,0.00259274400251638,-83.9197068579025
1.99,0.00247132136000417,-88.8849461840841
2,0.00245277762044961,-85.7061093022908
2.01,0.0023977408152685,-84.4234845814989
2.02,0.0024128957058273,-86.4065459510377
2.03,0.00241510541825139,-86.7909446427816
2.04,0.00246461978388608,-86.8571733407504
2.05,0.00243152424502956,-84.9579323855575
2.06,0.00240903861470139,-88.3608172463486
2.07,0.00237671226367076,-86.4269198856499
2.08,0.00230995387136227,-86.140303196807
2.09,0.00245851551335206,-85.4281441630172
2.1,0.0023655626587239,-87.4005674357295
2.11,0.00239701159814856,-86.7091526876253
2.12,0.00234313837093144,-87.1313975996819
2.13,0.00235782740201619,-87.4331417591294
2.14,0.00234121374400835,-85.8107848485885
2.15,0.00238833749629222,-86.8254760109109
2.16,0.00234785446511021,-84.3496905998075
2.17,0.00236434825703975,-86.6981291159784
2.18,0.00232324671203537,-86.2295961834411
2.19,0.00243270592169128,-85.1638894930471
2.2,0.00223476513418259,-86.7399072131908
2.21,0.00234650746460809,-86.0516848904279
2.22,0.00227426413912472,-86.4946025269383
2.23,0.002328124451164,-88.1303102651532
2.24,0.00229606423284993,-87.2079426015092
2.25,0.00224267185245729,-86.2070528986315
2.26,0.00228485555991552,-86.5732737482037
2.27,0.00227161355277332,-88.5451587712043
2.28,0.00221761066971126,-89.4932854023656
2.29,0.00218989575130237,-87.5466056836925
2.3,0.00224992554090809,-86.7937483665591
2.31,0.0021669349562592,-86.8038790485675
2.32,0.00219058319867515,-84.5855854076747
2.33,0.00218930163638344,-87.4409655571749
2.34,0.00217484619634025,-87.7398608574646
2.35,0.00212833204437502,-88.0833853622312
2.36,0.0021836164310071,-88.8382890201878
2.37,0.0021450866372969,-89.7222245961614
2.38,0.00216204089356064,-87.1072273798359
2.39,0.00244385033522294,-83.6167086699624
2.4,0.00213069108149467,-88.8032714623152
2.41,0.00216759484570478,-89.0071108035084
2.42,0.00202517766971895,-91.0682253867209
2.43,0.00208728268829429,-89.4966511504384
2.44,0.00220285548295942,-88.2134654514123
2.45,0.00214512149054532,-87.3898756799069
2.46,0.00209510724947704,-87.3560464517901
2.47,0.0021337742491477,-87.6193096682996
2.48,0.00211238785490412,-87.6570612414193
2.49,0.00200232612849356,-88.2949822236463
2.5,0.00211331779758426,-87.8489418912295
2.51,0.00211439332355487,-87.5354143276219
2.52,0.00211283545952274,-89.2789250577173
2.53,0.00210039112207907,-86.2803492267193
2.54,0.00205419711783656,-89.3464289713222
2.55,0.00208217096629016,-90.7658363895995
