Time,Force,Velocity
0,8.73288608450327,0
0.005,58.4610199949719,0.000109691977311031
0.01,-21.0026429018379,0.00124874829493835
0.015,31.4839092699674,0.00419840683001185
0.02,4.80579142815728,0.00736107398215945
0.025,-9.50133007918651,0.0102151516503472
0.03,-22.5305017707559,0.011698194661306
0.035,3.37576698556939,0.0108929763483081
0.04,14.1356780440376,0.00797823063995321
0.045,6.17556328354712,0.00490800218391583
0.05,12.519895614604,0.00371480500923845
0.055,12.1656593121657,0.00517048983311532
0.06,-3.39546240141829,0.00888527889085715
0.065,30.6991957197343,0.0133176570458503
0.07,-12.6634450649108,0.0168119297339941
0.075,-51.9963463442534,0.0187716478636791
0.08,-37.883455117184,0.017765773756334
0.085,44.3921403706079,0.0128340482363739
0.09,-10.5252796564198,0.00623183106831015
0.095,-23.513014800939,0.00232390752383086
0.1,-20.5406545272363,0.00210741841069138
0.105,-18.2810225569655,0.00421680480811594
0.11,-11.8286461620234,0.00645773515863352
0.115,-12.0390579674017,0.00700512095820725
0.12,-5.23770472966397,0.00521364169196176
0.125,36.5216531419547,0.00165017258413832
0.13,1.80201601897099,-0.00172122605649796
0.135,31.3302234349529,-0.00256735572053443
0.14,18.8593867289617,-0.000563597361598838
0.145,8.22459013860463,0.00383508161853677
0.15,-14.3618019783556,0.0087486355356812
0.155,-11.2600094186558,0.0117192243962365
0.16,-5.75780843178166,0.0109045055504664
0.165,-30.8583296245662,0.00655404531088498
0.17,52.5700888874797,0.000354076159737635
0.175,24.2089536327567,-0.00505882096724487
0.18,-16.6024800572739,-0.00582646388191844
0.185,-23.9409556670655,-0.00180707955756086
0.19,-3.71261481479448,0.00362487869771589
0.195,18.4772588044037,0.006886883900546
0.2,-6.60512652205567,0.00676483033871794
0.205,-31.5377271820914,0.0041741492427689
0.21,-22.3575267244984,9.1380249414897e-05
0.215,-0.687554404410059,-0.0046216195571883
0.22,28.4781204636948,-0.00847314078116395
0.225,-1.21213647837811,-0.00956138307066572
0.23,22.5902540094341,-0.00698143328176977
0.235,-12.798120567218,-0.00207508824652694
0.24,-0.648289410945011,0.00311603724552242
0.245,3.4109056946902,0.0059530304715676
0.25,-40.1506803903522,0.0055610884090317
0.255,-55.6296567275967,0.00228640808494453
0.26,9.78984933420666,-0.00368270453019471
0.265,-3.75411422312197,-0.0107273527437443
0.27,28.5814498697863,-0.0153466256547648
0.275,-1.57673991370062,-0.0154577910588912
0.28,-9.71813487274565,-0.0108496189273535
0.285,-13.1035142328037,-0.00436968342778501
0.29,15.9657898462893,0.000315125507618337
0.295,12.2868016107823,0.0011179173367321
0.3,21.0636571161095,-0.00121309209204599
0.305,47.9527190106931,-0.00452197748910938
0.31,14.9374289273561,-0.00594403317629594
0.315,-41.9231954338832,-0.0034995009918901
0.32,3.27514623453604,0.00118654092145071
0.325,36.7468318134482,0.00455852019930533
0.33,-24.413039967059,0.00572110415400865
0.335,-0.594163339643841,0.00525829335526065
0.34,-36.7022853816752,0.00307942710794998
0.345,9.19516184250775,-6.33015531995543e-05
0.35,-11.8047130272903,-0.00347210223806484
0.355,-38.132082865388,-0.00549976390909863
0.36,13.7160863511419,-0.00616697416865964
0.365,52.16240979906,-0.00629535948897607
0.37,15.7786972650615,-0.00496986544390924
0.375,-4.28946098377793,-0.00127660816499105
0.38,75.7353505521802,0.00331892698870776
0.385,-16.3890455837553,0.00748054949788056
0.39,27.2590313863117,0.0113530764193576
0.395,18.7557869599256,0.0133815431444042
0.4,18.5489764024218,0.0139629634932494
0.405,1.91962838059318,0.0140155842238497
0.41,-33.2075927635713,0.014357545191185
0.415,16.5595692811329,0.0146696746898347
0.42,5.63610046587638,0.0142813684698255
0.425,-34.4539972717233,0.0141269210880161
0.43,68.9597401394765,0.0142454069835749
0.435,38.8150413503495,0.0146649550454677
0.44,1.39893478166081,0.0177283566186819
0.445,-27.5713327592154,0.0232353261020827
0.45,-14.7274922039961,0.0283924952211282
0.455,-7.03452826270547,0.0301951021789732
0.46,0.253208867267932,0.0279699563372976
0.465,-20.5007380790482,0.0233101256788875
0.47,-21.2557362471278,0.0186330323979155
0.475,-11.9444032915824,0.0153976269576068
0.48,-21.479583108093,0.0141787478371411
0.485,29.0434880245033,0.0146381947925635
0.49,-21.7464717745741,0.0160525419625621
0.495,15.8971027118378,0.0180889585212282
0.5,53.3416591237113,0.0193028216882094
0.505,-22.6494949608804,0.0201737666627122
0.51,12.8612911657536,0.0214640545526005
0.515,-14.5544797736721,0.0219951814731388
0.52,-5.37010042535899,0.0215157703445218
0.525,-33.102073127151,0.0196868899009958
0.53,43.5745392824554,0.0166389078219442
0.535,2.86656902469264,0.013209026799981
0.54,-2.6257245409651,0.0118611725773241
0.545,0.750311082423545,0.0127475613297245
0.55,-3.13252335359276,0.0147378385978596
0.555,-25.2805481007867,0.0163954831942206
0.56,-2.34504817075061,0.016272581089607
0.565,26.3856833043924,0.0135929392783772
0.57,52.8116844877347,0.00981310629719104
0.575,2.2565741280625,0.00791786087651835
0.58,-58.694493130293,0.00984076956643855
0.585,35.5239928430804,0.0134089943670388
0.59,-2.55021642044328,0.0153359947064533
0.595,33.7471247308316,0.0156213835079692
0.6,24.0560634589157,0.0147106089693393
0.605,-2.75472448633331,0.0143751181205965
0.61,-19.6728576347422,0.0154185709753193
0.615,34.4104259413164,0.0169449731637847
0.62,-19.36027996223,0.0181273388177724
0.625,-14.9787403846072,0.0192788828056979
0.63,24.9040859193318,0.0194079736496364
0.635,9.98159675391864,0.0186246969132084
0.64,-38.3102684540023,0.0184312825548776
